source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Tyre Nichols bodycam footage: What we know about the arrest video,Lawyers for the 29-year-old's family say the bodycam footage shows Mr Nichols being severely beaten.,http://www.bbc.co.uk/news/world-us-canada-64422576,https://ichef.bbci.co.uk/news/1024/branded_news/176DB/production/_128436959_tyrenichols.jpg,2023-01-27T15:22:20.7645893Z,"Media caption, Watch: Tennessee official on bodycam footage of Tyre Nichols
Video footage of 29-year-old father Tyre Nichols being beaten by police in Memphis is being released later, with the city … [+3344 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Bilal al-Sudani: US forces kill Islamic State Somalia leader in cave complex,"Bilal al-Sudani was a key figure in growing the Islamic State's presence in Africa, the US says.",http://www.bbc.co.uk/news/world-africa-64423598,https://ichef.bbci.co.uk/news/1024/branded_news/3B8B/production/_128434251_soldiers-gettyimages-1242667262.jpg,2023-01-27T13:52:19.967652Z,"US forces have killed an Islamic State leader, Bilal al-Sudani, and 10 of his operatives in northern Somalia, American officials say.
He was killed after US special forces raided a remote mountainou… [+2747 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Tyre Nichols: Memphis braced for release of police beating video,Video of an arrest that led to Tyre Nichols' death will show him being severely beaten according to lawyers.,http://www.bbc.co.uk/news/live/world-us-canada-64427257,https://m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/5.3.0/bbc_news_logo.png,2023-01-27T13:07:25.5613556Z,"Here's a recap of
the key developments:
Five police
officers - Tadarrius Bean, Demetrius Haley, Desmond Mills Jr, Emmitt Martin
III and Justin Smith - have been formally charged
The officers now… [+683 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Jeremy Renner was injured by snowplough when trying to save nephew,A police report discloses more details about the snowplough accident that seriously injured the actor.,http://www.bbc.co.uk/news/entertainment-arts-64423863,https://ichef.bbci.co.uk/news/1024/branded_news/167E5/production/_128433129_hi081361428.jpg,2023-01-27T12:52:16.7716657Z,"Actor Jeremy Renner was trying to stop a snowplough from crashing into his nephew when he became trapped and it crushed him, a police report discloses.
The Marvel star was using the six-tonne Pisten… [+3192 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Ukraine war: Zelensky's government launches anti-corruption drive,"The government in Kyiv is trying to tackle corruption head-on, but it’s a risky strategy.",http://www.bbc.co.uk/news/world-europe-64401190,https://ichef.bbci.co.uk/news/1024/branded_news/A264/production/_128427514_kyrylotymoshenko.jpg,2023-01-27T06:52:15.8807361Z,"It's been a political reshuffle with a difference.
At the time of typing this, 11 officials have either resigned or been sacked as Kyiv tries to tackle government corruption. 
It's led to some poli… [+4116 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Cameras show tornado ripping through Texas town,The CCTV footage reveals the moment a tornado touched down and tore through Deer Creek.,http://www.bbc.co.uk/news/world-us-canada-64420943,https://ichef.bbci.co.uk/news/1024/branded_news/18300/production/_128427099_p0dz4q20.jpg,2023-01-27T04:22:23.0058815Z,"With wind speeds reaching 140mph (225km/h), a tornado wreaked havoc across the Houston area. 
CCTV cameras in Deer Creek, Texas, caught some of the destruction."
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Woman arrested for enrolling as New Jersey high school student,The 29-year-old allegedly used a fake birth certificate to attend the high school in New Jersey.,http://www.bbc.co.uk/news/world-us-canada-64408449,https://ichef.bbci.co.uk/news/1024/branded_news/13F75/production/_128418718_gettyimages-1415424431.jpg,2023-01-27T04:22:20.1315967Z,"A 29-year-old woman has been arrested in New Jersey for allegedly posing as a high school student.
The woman, identified by police as Hyejeong Shin, has been charged with using a fake identification… [+1880 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Tyre Nichols: Biden urges calm over Memphis police murder case,Video of the traffic stop arrest that led to Tyre Nichols' death is due to be released on Friday.,http://www.bbc.co.uk/news/world-us-canada-64421704,https://ichef.bbci.co.uk/news/1024/branded_news/04BD/production/_128431210_screenshot2023-01-26at6.38.50pm.png,2023-01-27T03:37:20.2395801Z,"President Joe Biden is urging protests in Tennessee to remain peaceful as officials plan to release video of an arrest that led to a motorist's death. 
Five Memphis police officers have been fired a… [+4544 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,George Santos: Drag queen claims embroil embattled congressman,A congressman who has criticised LGBT people becomes late-night comedy fodder after his apparent drag queen past emerges.,http://www.bbc.co.uk/news/world-us-canada-64388524,https://ichef.bbci.co.uk/news/1024/branded_news/F23D/production/_128431026_santos.png,2023-01-27T02:52:15.7085054Z,"He admitted he was guilty of ""embellishing"" his biography and resume - but Republican lawmaker George Santos said he was definitely never a drag queen.
Or at least that was until photos and videos o… [+5719 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Tennessee students build robotic hand for new classmate,"Sergio Peralta, 15, says his classmates changed his life by making him a robotic hand.",http://www.bbc.co.uk/news/world-us-canada-64418260,https://ichef.bbci.co.uk/news/1024/branded_news/958A/production/_128428283_prosthetics_tennessee.jpg,2023-01-26T18:07:21.8035553Z,"Starting at a new school this year, 15-year-old Sergio Peralta had all the typical teenage reasons to be nervous. 
He was also trying to keep a secret: a hand that was not fully formed.
""In the fir… [+1731 chars]"
